v001,v002,b2,b3,b5,b7
1,1,2011,1333,1,
1,1,2007,1285,1,
1,1,2004,1250,1,
1,1,1999,1196,1,
1,1,1998,1181,0,0.0
1,1,1995,1147,1,
1,2,2012,1350,1,
1,2,2010,1321,1,
1,2,2005,1267,1,
1,2,2002,1229,0,36.0
1,2,2000,1203,1,
1,2,1996,1153,1,
1,4,2015,1386,1,
1,4,2012,1348,1,
1,4,2010,1322,1,
1,5,2013,1364,1,
1,5,2009,1318,1,
1,5,2005,1271,1,
1,5,2001,1216,1,
1,5,1998,1181,1,
1,5,1995,1149,1,
1,6,2012,1345,1,
1,6,2005,1272,1,
1,6,1996,1160,1,
1,6,1991,1100,1,
1,7,2013,1365,1,
1,7,2008,1301,1,
1,10,2015,1384,1,
1,10,2009,1316,1,
1,10,2005,1268,1,
1,11,2010,1329,1,
1,11,2004,1251,1,
1,11,2001,1213,1,
1,11,1998,1188,1,
1,11,1995,1152,1,
1,11,1990,1081,1,
1,13,1991,1103,1,
1,15,2015,1384,1,
1,17,2010,1330,1,
1,17,2009,1310,1,
1,18,2014,1370,0,1.0
1,18,2011,1341,1,
1,18,2009,1311,1,
1,18,2006,1276,1,
1,18,2002,1226,1,
1,18,1999,1194,1,
1,19,2010,1327,1,
1,19,2006,1279,1,
1,19,1999,1197,1,
1,19,1996,1153,0,120.0
1,21,2012,1355,1,
1,21,2007,1289,1,
1,22,2004,1252,1,
1,22,2000,1209,1,
1,22,1999,1200,1,
1,22,1994,1133,1,
1,22,1989,1079,1,
1,22,1986,1041,1,
1,22,1984,1014,1,
1,25,2013,1357,1,
1,25,2005,1266,1,
1,25,2002,1231,1,
1,25,1998,1180,1,
1,25,1994,1139,1,
1,25,1991,1099,1,
1,26,2012,1350,1,
1,26,2009,1317,1,
1,26,2008,1307,0,1.0
1,26,2004,1252,1,
1,26,1999,1199,0,168.0
1,27,2015,1383,1,
1,27,2012,1346,1,
2,1,2013,1363,1,
2,1,2006,1273,1,
2,4,2014,1371,1,
2,4,2014,1371,1,
2,6,2008,1307,1,
2,6,2004,1258,1,
2,8,2014,1374,1,
2,8,2010,1326,1,
2,8,2007,1291,1,
2,8,2004,1255,1,
2,8,2002,1226,1,
2,8,1998,1181,1,
2,12,2003,1245,1,
2,14,2008,1305,1,
2,14,2004,1260,1,
2,14,2002,1235,1,
2,15,2008,1308,1,
2,15,2003,1245,1,
2,15,2001,1219,1,
2,15,1997,1172,1,
2,16,2012,1356,1,
2,16,2009,1314,1,
2,17,2006,1284,1,
2,18,2015,1385,1,
2,20,2012,1349,1,
2,23,2014,1371,1,
2,23,2008,1307,1,
2,23,2005,1269,1,
2,23,2001,1220,1,
2,25,2015,1384,1,
2,25,2010,1323,1,
2,25,2012,1353,1,
2,25,2009,1317,1,
2,27,2009,1311,1,
2,27,2007,1296,1,
2,27,2005,1265,1,
2,27,2003,1240,1,
2,27,2003,1240,1,
2,27,2000,1203,1,
2,27,1999,1191,1,
2,27,1998,1181,0,0.0
2,27,1998,1181,0,0.0
2,27,1995,1144,0,0.0
2,27,1993,1124,0,1.0
2,27,1991,1097,0,3.0
3,1,2011,1333,1,
3,1,2001,1217,1,
3,1,1997,1166,1,
3,7,2010,1327,1,
3,7,2003,1248,1,
3,8,2015,1381,1,
3,8,2012,1356,1,
3,8,2010,1330,1,
3,11,2015,1386,1,
3,11,2013,1362,1,
3,11,2011,1334,1,
3,11,2005,1263,1,
3,12,2008,1297,0,0.0
3,12,2002,1227,1,
3,12,1996,1162,1,
3,15,2011,1339,1,
3,15,2007,1287,0,24.0
3,15,2004,1251,0,12.0
3,15,1997,1169,1,
3,15,1989,1074,1,
3,15,1985,1031,1,
3,16,2005,1271,1,
3,16,2000,1203,1,
3,17,1999,1200,1,
3,17,1996,1156,1,
3,19,2012,1347,1,
3,19,2007,1292,1,
3,19,2004,1250,0,36.0
3,19,2002,1233,1,
3,20,2012,1347,0,0.0
3,20,1997,1173,1,
3,20,1995,1152,1,
3,20,1992,1107,1,
3,21,2010,1325,0,1.0
3,21,2006,1279,1,
3,21,2002,1228,1,
3,21,1999,1194,1,
3,21,1996,1157,0,36.0
3,21,1991,1099,1,
3,25,2009,1320,1,
3,25,2003,1243,1,
3,27,2011,1336,1,
3,27,2005,1262,1,
3,27,2002,1225,1,
3,28,2014,1376,1,
3,28,2010,1323,1,
3,28,2006,1284,1,
3,28,2004,1250,1,
3,29,2013,1360,1,
3,29,2011,1333,1,
3,29,2005,1261,1,
4,1,2005,1262,1,
4,5,2014,1380,1,
4,5,2012,1352,1,
4,5,2009,1318,1,
4,5,2007,1293,1,
4,6,2015,1385,1,
4,6,2011,1341,1,
4,8,2012,1350,1,
4,8,2009,1316,0,0.0
4,9,2014,1372,1,
4,9,2005,1264,1,
4,9,2014,1369,1,
4,10,2013,1358,1,
4,10,2002,1230,1,
4,11,2015,1384,1,
4,11,2011,1341,1,
4,12,2009,1319,1,
4,12,2006,1276,1,
4,13,2012,1355,1,
4,13,2010,1328,1,
4,14,2012,1355,1,
4,14,2011,1336,1,
4,14,2008,1304,1,
4,18,2002,1233,1,
4,18,1993,1126,1,
4,18,1990,1085,1,
4,19,2013,1365,1,
4,19,2011,1337,1,
4,19,2007,1294,1,
4,19,2005,1269,1,
4,19,2003,1248,1,
4,19,2000,1206,1,
4,21,2015,1385,1,
4,23,2012,1348,1,
4,23,2009,1310,1,
4,23,2006,1273,1,
4,24,2015,1386,1,
4,24,2015,1386,1,
4,24,2012,1347,1,
4,24,2006,1277,1,
4,24,2003,1241,1,
4,24,2011,1338,1,
4,24,2009,1315,1,
4,26,2014,1370,1,
4,26,2011,1333,1,
4,26,2003,1239,1,
4,29,2013,1363,1,
5,1,2011,1335,1,
5,1,2009,1317,1,
5,5,2006,1282,1,
5,12,2015,1384,1,
5,12,2010,1326,1,
5,17,2004,1255,1,
5,23,2015,1387,1,
5,24,2009,1317,1,
5,24,2002,1236,1,
5,24,1999,1189,1,
5,24,1992,1110,1,
5,29,2010,1325,1,
5,29,2006,1282,1,
5,29,2005,1263,1,
6,1,2011,1343,1,
6,1,2010,1324,1,
6,1,2005,1262,1,
6,1,2002,1226,1,
6,2,2007,1286,1,
6,2,2001,1223,1,
6,3,2014,1371,1,
6,4,2014,1372,1,
6,6,2012,1353,1,
6,6,2002,1234,1,
6,6,1995,1150,1,
6,8,2000,1205,1,
6,8,1998,1185,0,1.0
6,8,1995,1144,1,
6,10,2013,1358,1,
6,10,2010,1321,1,
6,10,2005,1262,1,
6,10,2001,1221,1,
6,11,2012,1350,1,
6,11,2008,1303,1,
6,11,2002,1232,1,
6,11,1999,1196,1,
6,12,2014,1373,1,
6,12,2010,1328,1,
6,14,2015,1387,1,
6,14,2012,1355,1,
6,15,2013,1368,1,
6,15,2011,1335,1,
6,15,2008,1306,1,
6,15,2005,1266,1,
6,16,2011,1339,1,
6,16,2004,1258,1,
6,16,1998,1186,1,
6,16,1994,1136,1,
6,20,2011,1336,1,
6,20,2002,1230,1,
6,20,1998,1179,1,
6,20,1994,1137,1,
6,22,2014,1370,1,
6,22,2006,1278,1,
6,22,1996,1160,1,
6,25,2011,1338,1,
6,25,2010,1322,1,
6,25,2008,1307,1,
6,25,2002,1232,1,
6,28,2014,1376,1,
6,29,2006,1283,1,
6,29,1998,1179,1,
6,29,1995,1141,1,
7,1,2012,1350,1,
7,1,2008,1297,1,
7,2,2013,1358,1,
7,2,2010,1330,1,
7,2,2008,1298,1,
7,2,1998,1181,1,
7,2,1994,1129,1,
7,3,2002,1236,1,
7,3,2001,1215,1,
7,4,2011,1340,1,
7,4,2011,1340,1,
7,4,2006,1281,1,
7,4,2001,1223,1,
7,4,1997,1169,1,
7,4,1995,1143,1,
7,8,2009,1320,1,
7,8,2004,1249,1,
7,8,2001,1222,1,
7,8,1998,1188,1,
7,10,2014,1378,1,
7,10,2010,1330,1,
7,11,2012,1354,1,
7,11,2010,1324,1,
7,11,2005,1266,1,
7,12,2004,1256,1,
7,12,1997,1172,1,
7,13,2012,1349,1,
