DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.0035440209999999996,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000001,241.60051549999997
ZW201500000002,2,19903.21094,22223.20703,63.35388809,70.738665,3811.6147960000003,2e-05,8.0,2899.75,2856.833333,28.15776081,6.0,0.108877498,0.391711253,0.026216265,0.024370044,0.005415121,1706.3698980000001,172100.2532,64590.29336,58864.15939,558.8181818,300.2727273,153.6183206
ZW201500000003,3,21677.65039,24204.48438,1725.052607,1926.131667,5297.705882,0.487377424,10.0,2695.0,2368.0,76.82352941,7.0,0.075411813,0.313615129,0.020554904,0.025800798,4.116660055,1550.294118,186097.3217,192463.6073,221742.1191,756.0,593.0,15.47058824
ZW201500000004,4,6084.642578,6793.893555,19.36801886,21.62563484,5232.875647999999,0.009393845,8.0,3137.5,3090.8,28.20779221,7.0,0.128145189,0.41175439,0.034550846,0.043433383,0.006042513,1533.974093,113193.3176,92999.87697,133285.2337,763.8333332999999,677.1666667000001,146.4870466
ZW201500000005,5,37963.69922,42388.89844,3021.055194,3373.201359,3957.75,0.158932457,9.0,2957.0,2783.0,68.6875,5.0,0.09842368900000001,0.282090368,0.023279319,0.021107717999999998,3.32880296,1563.3125,98705.3292,27204.33085,240024.6919,561.0,356.0,6.375
ZW201500000006,6,107054.6563,119533.3906,8519.138866,9512.164989,4985.75,0.612587531,10.0,2324.0,2235.0,69.1875,7.0,0.040362246000000004,0.231617348,0.014601313999999999,0.017227817,7.792922974,1552.9375,193092.199,171085.1969,234747.042,713.0,535.0,7.5
ZW201500000007,7,21281.07031,23761.67773,1693.4937670000002,1890.8942329999998,6282.071429,0.15327725,10.0,2802.0,2678.0,61.28571429,8.0,0.047308485,0.27578962100000004,0.027450355,0.027039472000000002,2.803759575,1432.142857,140626.2623,119081.4639,182576.4909,783.0,638.0,2.285714286
ZW201500000008,8,12713.73438,14195.69824,40.46907343,45.18631091,4764.07888,1.29e-05,8.0,2707.333333,2819.083333,28.94147583,6.0,0.136467702,0.452958408,0.036166783,0.034260808999999996,0.0014140160000000001,1665.653944,99533.94318999999,95011.53653,59222.524339999996,663.0,359.0,165.9618321
ZW201500000009,9,18981.65234,21194.22852,1510.511899,1686.5831170000001,5114.3125,0.302091837,8.0,3016.0,2857.0,68.6875,7.0,0.10889711199999999,0.423399818,0.023709132999999997,0.026631504,2.1230845130000002,1671.25,117072.9413,175946.3545,167360.9925,721.0,637.0,86.5
ZW201500000010,10,19537.52734,21814.89844,1554.747026,1735.9744600000001,5276.133333,0.417228919,10.0,2560.0,2393.0,67.33333333,7.0,0.07469724,0.315892262,0.019651672,0.024392709,3.861808414,1537.466667,188651.0048,175776.4428,231984.0743,746.0,579.0,14.53333333
