,id,hv001,hv002,total_household_members,hv010,hv011,hv012,hv014,hv024,hv025,hv027,financial_depriv,electricity_depriv,water_depriv,sanitation_depriv,cooking_fuel_depriv,floor_depriv,information_asset,mobility_asset,livelihood_asset,asset_depriv,hv108,malnutrition,child_under_5,woman_15_to_49,child_not_in_school,school_attainment_depriv,school_attendance_depriv,child_mortality,total_of_weighted_deprivations,headcount_poor,total_poverty_intensity,DHSID_num,ADM1NAME,LATNUM,LONGNUM,geometry,index_right,LOCAL_AUTH,DISTRICT_N,DIST_NAME_,DIST_NM_LA,PROVINCEPC,PROVNAMEFU,DISTRICTPC,STATUS,NOOFWARDS,HRName,HRPCode,HRParent,DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
0,0,1,1,8,2,2,8,1,3,2,1,1,1,1,0,1,0,1,1,1,0,4,1.0,1,1,0,0,0,0.0,0.33333333333333337,8,2.666666666666667,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
1,1,1,2,6,1,2,6,2,3,2,1,1,1,1,1,1,0,1,0,1,0,3,0.0,1,1,0,0,0,0.0,0.2222222222222222,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
2,2,1,4,5,1,1,5,3,3,2,1,1,1,0,0,1,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.1111111111111111,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
3,3,1,5,6,1,1,6,2,3,2,1,1,1,1,1,1,1,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
4,4,1,6,4,1,0,4,1,3,2,1,1,1,1,0,1,0,1,0,1,0,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
5,5,1,7,4,1,1,4,1,3,2,1,1,1,0,1,1,0,1,1,1,0,2,0.0,1,1,0,0,0,0.0,0.16666666666666666,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
6,6,1,10,4,1,0,4,1,3,2,1,1,1,1,1,1,1,1,1,1,0,1,0.0,1,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
7,7,1,11,5,1,1,4,1,3,2,1,1,1,1,1,1,1,1,0,1,0,3,0.0,0,1,0,0,0,0.0,0.2777777777777778,0,0.0,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
8,8,1,13,1,1,0,1,0,3,2,1,1,1,1,1,1,1,0,0,1,1,1,0.0,0,1,0,0,0,0.0,0.33333333333333337,1,0.33333333333333337,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
9,9,1,15,2,1,0,2,1,3,2,1,1,1,1,1,1,0,1,0,1,0,1,1.0,1,1,0,0,0,0.0,0.38888888888888895,2,0.7777777777777779,1,Mashonaland East,-17.303925,31.888710999999997,POINT (31.888711 -17.303925),56,ZvataidaRDC,Uzumba Maramba Pfungwe,UzumbaMarambaPfungwe,UMP,13,Mashonaland East,1309,Rural,17,UzumbaMarambaPfungwe,ZW1309,ZW13,ZW201500000001,1,13637.31641,15226.9375,43.40892634,48.46884743,4693.21134,0.003544021,8.0,2824.3,2772.2,36.39948454,7.0,0.179677755,0.577655114,0.035951708,0.037831321,0.002814567,1631.090206,96673.27267,135468.6178,174108.1695,723.0,559.1666667000002,241.6005155
