hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
1,1,8,2,2,8,1,3,2,1,0,32,996,22,0.0,8,34,1,1,1,0,1,0,0,1,0,0,1,20.0,1,0
1,2,6,1,2,6,2,3,2,1,0,31,45,31,,8,34,0,0,1,0,0,0,0,0,0,0,0,,1,0
1,3,2,0,0,2,0,3,2,1,0,32,996,31,,8,34,0,0,1,0,0,0,0,1,0,0,1,60.0,1,0
1,4,5,1,1,5,3,3,2,1,0,31,996,22,0.0,8,34,1,0,1,0,0,0,0,0,0,0,1,20.0,1,0
1,5,6,1,1,6,2,3,2,1,0,31,60,31,,8,11,1,1,1,0,0,0,0,0,0,0,1,10.0,1,0
1,6,4,1,0,4,1,3,2,1,0,32,5,22,0.0,8,34,1,1,1,0,0,0,0,0,0,0,1,50.0,1,0
1,7,4,1,1,4,1,3,2,1,0,31,10,21,1.0,8,34,1,1,1,0,1,0,0,1,0,0,1,10.0,1,0
1,8,2,0,0,2,0,3,2,1,0,21,30,21,1.0,8,34,0,0,0,0,0,0,0,0,0,0,1,20.0,0,0
1,9,9,1,3,6,1,3,2,1,0,32,20,21,0.0,8,34,0,0,1,0,0,0,0,0,0,0,1,40.0,1,0
1,10,4,1,0,4,1,3,2,1,0,43,70,31,,8,11,1,0,1,1,1,0,0,0,0,0,1,10.0,1,0
1,11,5,1,1,4,1,3,2,1,0,32,20,31,,8,11,1,0,1,0,0,0,0,0,0,0,1,10.0,1,0
1,12,4,0,1,4,0,3,2,1,0,32,10,21,0.0,8,11,0,0,1,0,0,0,0,1,0,0,1,10.0,1,0
1,13,1,1,0,1,0,3,2,1,0,32,5,31,,8,12,0,0,0,0,0,0,0,0,0,0,1,50.0,1,0
1,14,3,0,0,3,0,3,2,1,0,32,20,21,0.0,8,34,0,0,1,0,1,0,0,1,0,0,1,20.0,1,0
1,15,2,1,0,2,1,3,2,1,0,31,120,22,1.0,8,34,1,0,1,0,0,0,0,0,0,0,1,0.0,0,0
1,17,2,1,0,2,1,3,2,1,0,31,10,22,0.0,8,34,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0
1,18,6,1,1,6,1,3,2,1,0,21,30,31,,8,11,1,0,1,0,0,0,0,1,0,0,1,10.0,1,0
1,19,4,1,1,4,1,3,2,1,0,43,15,31,,8,34,0,0,1,0,1,0,0,1,0,0,1,10.0,1,0
1,20,5,0,1,5,0,3,2,1,0,31,40,22,0.0,8,11,1,0,1,0,0,0,0,0,0,0,1,10.0,1,0
1,21,2,1,0,2,1,3,2,1,0,32,5,22,1.0,8,34,0,0,1,0,0,0,0,0,0,0,1,30.0,1,0
1,22,5,1,1,5,1,3,2,1,0,31,20,23,1.0,8,34,1,1,1,0,1,0,0,1,0,0,1,30.0,1,0
1,24,3,0,1,3,0,3,2,1,0,31,30,22,0.0,8,11,1,0,1,0,0,0,0,0,0,0,1,30.0,1,0
1,25,6,1,2,6,1,3,2,1,0,32,60,31,,8,34,1,1,1,0,1,0,0,0,0,0,1,10.0,1,0
1,26,4,1,0,4,2,3,2,1,0,43,30,31,,8,11,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0
1,27,2,1,0,2,1,3,2,1,0,21,45,31,,8,34,0,0,1,0,0,0,0,0,0,0,1,10.0,1,0
1,28,5,0,0,5,1,3,2,1,0,21,15,31,,8,12,0,0,1,0,0,0,0,1,0,0,1,20.0,1,0
1,29,1,0,0,1,0,3,2,1,0,32,15,31,,8,12,1,0,1,0,0,0,0,0,0,0,1,20.0,0,0
2,1,2,1,0,2,1,8,2,1,0,21,60,31,,8,12,0,0,1,0,0,0,0,0,0,0,0,,1,0
2,2,4,2,0,4,1,8,2,1,0,21,30,22,0.0,8,34,0,0,0,0,0,0,0,0,0,0,1,40.0,1,0
2,3,1,0,0,1,0,8,2,1,0,21,30,31,,8,34,0,0,0,0,0,0,0,0,0,0,1,998.0,1,0
2,4,5,1,1,2,0,8,2,1,0,21,60,22,0.0,8,34,0,0,1,0,0,0,0,0,0,0,1,10.0,1,0
2,6,3,1,0,2,0,8,2,1,0,21,30,31,,8,34,0,0,1,0,0,0,0,0,0,0,1,0.0,1,0
2,8,5,1,0,5,2,8,2,1,0,21,15,31,,8,12,0,0,0,0,0,0,0,0,0,0,1,30.0,0,0
2,9,5,1,1,5,0,8,2,1,0,21,60,31,,8,12,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
2,10,4,1,0,4,0,8,2,1,0,21,30,31,,8,34,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
2,11,7,1,0,7,0,8,2,1,0,21,15,31,,8,12,0,0,1,0,1,0,0,0,0,0,1,10.0,1,0
2,12,4,2,1,4,0,8,2,1,0,21,40,22,1.0,8,34,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
2,13,4,1,3,4,0,8,2,1,0,21,60,22,0.0,8,34,1,0,1,0,0,0,0,1,0,0,1,20.0,1,0
2,14,5,1,0,5,0,8,2,1,0,21,60,31,,8,34,1,0,1,0,0,0,0,0,0,0,1,20.0,1,0
2,15,7,1,3,7,0,8,2,1,0,21,30,31,,8,12,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0
2,16,2,1,0,2,0,8,2,1,0,21,45,31,,8,34,0,0,1,0,1,0,0,0,0,0,1,0.0,1,0
2,17,6,2,0,6,2,8,2,1,0,21,30,31,,8,12,0,0,0,0,0,0,0,0,0,0,1,30.0,0,0
2,18,6,2,1,6,2,8,2,1,0,31,30,31,,8,12,0,0,1,0,0,0,0,1,0,0,1,15.0,1,0
2,19,7,0,0,6,2,8,2,1,0,21,30,22,0.0,8,34,1,0,1,0,0,0,0,1,0,0,1,30.0,1,0
2,20,8,2,1,8,1,8,2,1,0,21,60,21,0.0,8,34,1,0,1,0,0,0,0,0,0,0,1,40.0,1,0
2,21,6,0,0,6,1,8,2,1,0,21,60,23,0.0,8,34,0,0,0,0,0,0,0,1,0,0,1,998.0,1,0
2,22,4,0,1,4,0,8,2,1,0,21,30,22,0.0,8,34,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
2,23,5,1,0,5,1,8,2,1,0,21,60,22,0.0,8,12,0,0,1,0,0,0,0,0,0,0,1,10.0,1,0
2,24,5,1,1,5,0,8,2,1,0,21,20,22,0.0,8,12,0,0,0,0,0,0,0,1,0,0,1,10.0,1,0
2,25,7,3,0,7,3,8,2,1,0,21,30,31,,8,12,0,0,1,0,0,0,0,0,0,0,1,10.0,1,0
2,27,10,1,1,10,1,8,2,1,0,21,20,31,,8,12,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0
2,28,9,0,1,9,3,8,2,1,0,21,60,22,0.0,8,34,1,0,1,0,1,0,0,1,0,0,1,30.0,1,0
2,29,4,0,0,4,2,8,2,1,0,21,30,22,0.0,8,34,0,0,1,0,1,0,0,0,0,0,1,10.0,1,0
3,1,5,1,2,5,1,9,1,1,1,21,5,11,1.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,1,1
3,2,1,0,0,1,0,9,1,1,1,21,30,11,1.0,1,34,1,0,1,0,0,0,0,0,0,0,0,,1,0
3,3,4,1,1,4,0,9,1,1,1,21,5,11,1.0,1,34,1,1,1,0,0,0,0,0,0,0,1,0.0,1,0
3,4,3,0,3,3,0,9,1,1,0,21,2,11,1.0,5,34,0,1,1,0,0,0,0,0,0,1,1,10.0,1,1
3,5,3,0,1,3,0,9,1,1,1,21,1,11,1.0,1,34,0,0,1,0,0,0,0,0,0,0,0,,0,0
3,6,2,1,1,2,0,9,1,1,0,21,5,11,1.0,5,34,0,0,1,0,0,0,0,0,0,0,0,,0,0
3,7,4,1,1,4,1,9,1,1,1,21,10,11,1.0,1,34,1,1,1,0,0,0,0,0,0,0,1,0.0,1,0
3,8,7,3,1,7,1,9,1,1,1,21,10,11,1.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,1,1
3,9,2,0,0,2,1,9,1,1,1,21,20,11,1.0,1,34,0,1,1,0,0,0,0,0,0,0,0,,0,0
3,11,7,1,1,7,3,9,1,1,1,21,10,11,1.0,5,34,0,0,1,0,0,0,0,0,0,0,0,,0,0
3,12,3,1,0,3,0,9,1,1,1,12,996,11,1.0,1,34,1,1,1,0,0,0,0,0,0,0,0,,0,0
3,14,5,0,1,5,0,9,1,1,1,11,996,11,1.0,1,34,1,1,1,0,0,0,0,0,0,1,0,,0,1
3,15,3,1,1,3,1,9,1,1,1,12,996,11,1.0,1,34,1,0,1,0,0,0,0,0,0,1,0,,1,1
3,16,2,1,1,2,0,9,1,1,0,21,30,11,1.0,1,34,0,0,1,0,0,0,0,0,0,0,1,20.0,1,0
3,17,4,2,2,4,0,9,1,1,1,21,30,11,0.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,0,0
3,18,1,0,0,1,0,9,1,1,1,21,10,11,1.0,1,34,1,1,1,0,0,0,0,0,0,0,0,,0,0
3,19,5,1,1,5,1,9,1,1,1,12,996,11,1.0,1,34,1,1,1,0,0,0,0,0,0,1,1,0.0,0,1
3,20,2,1,0,2,0,9,1,1,1,12,996,11,1.0,1,34,0,0,1,0,0,0,0,0,0,0,1,10.0,1,0
3,21,5,1,2,5,0,9,1,1,1,12,996,11,0.0,1,34,1,1,1,0,1,0,0,0,0,1,0,,0,0
3,22,5,1,1,5,0,9,1,1,1,21,6,11,1.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,1,1
3,23,3,1,0,3,0,9,1,1,1,21,10,11,1.0,1,34,0,1,1,0,0,0,0,0,0,0,0,,1,0
3,24,3,0,1,3,1,9,1,1,1,12,996,11,1.0,1,34,0,1,1,0,0,0,0,0,0,0,0,,1,0
3,25,5,2,3,4,0,9,1,1,1,21,5,11,1.0,1,34,0,1,1,0,0,0,0,0,0,1,0,,0,1
3,26,5,1,1,4,1,9,1,1,1,21,10,11,0.0,2,34,0,1,1,0,0,0,0,0,0,1,1,0.0,1,0
3,27,3,1,1,3,1,9,1,1,1,21,10,11,1.0,1,34,0,1,1,0,1,0,0,0,0,1,1,0.0,0,0
3,28,6,1,2,5,2,9,1,1,0,21,1,42,1.0,8,34,0,0,1,0,0,0,0,0,0,0,0,,0,0
